title,date,link,search_term,page,year
"
                                        Quantification of regurgitation in mitral valve prolapse with four-dimensional flow cardiovascular magnetic resonance
                                        
                                    ",2021-07-08,https://link.springer.com/article/10.1186/s12968-021-00783-8,machine learning,2,2021
"
                                        2020 - State of our JCMR
                                        
                                    ",2021-01-12,https://link.springer.com/article/10.1186/s12968-020-00704-1,machine learning,2,2021
"
                                        Sub-segmental quantification of single (stress)-pass perfusion CMR improves the diagnostic accuracy for detection of obstructive coronary artery disease
                                        
                                    ",2020-02-06,https://link.springer.com/article/10.1186/s12968-020-0600-1,machine learning,2,2020
"
                                        Myocardial fibrosis in asymptomatic and symptomatic chronic severe primary mitral regurgitation and relationship to tissue characterisation and left ventricular function on cardiovascular magnetic resonance
                                        
                                    ",2020-12-14,https://link.springer.com/article/10.1186/s12968-020-00674-4,machine learning,2,2020
"
                                        Four-dimensional flow cardiovascular magnetic resonance in tetralogy of Fallot: a systematic review
                                        
                                    ",2021-05-20,https://link.springer.com/article/10.1186/s12968-021-00745-0,machine learning,2,2021
"
                                        Neural-network classification of cardiac disease from 31P cardiovascular magnetic resonance spectroscopy measures of creatine kinase energy metabolism
                                        
                                    ",2019-08-12,https://link.springer.com/article/10.1186/s12968-019-0560-5,machine learning,2,2019
"
                                        Automated quality control in image segmentation: application to the UK Biobank cardiovascular magnetic resonance imaging study
                                        
                                    ",2019-03-14,https://link.springer.com/article/10.1186/s12968-019-0523-x,machine learning,2,2019
"
                                        High-resolution and accelerated multi-parametric mapping with automated characterization of vessel disease using intravascular MRI
                                        
                                    ",2017-11-20,https://link.springer.com/article/10.1186/s12968-017-0399-6,machine learning,2,2017
"
                                        Journal of Cardiovascular Magnetic Resonance 2017
                                        
                                    ",2018-12-28,https://link.springer.com/article/10.1186/s12968-018-0518-z,machine learning,2,2018
"
                                        Automated analysis of cardiovascular magnetic resonance myocardial native T1 mapping images using fully convolutional neural networks
                                        
                                    ",2019-01-14,https://link.springer.com/article/10.1186/s12968-018-0516-1,machine learning,2,2019
"
                                        Echocardiography and cardiovascular magnetic resonance based evaluation of myocardial strain and relationship with late gadolinium enhancement
                                        
                                    ",2019-08-08,https://link.springer.com/article/10.1186/s12968-019-0559-y,machine learning,2,2019
"
                                        Automated cardiovascular magnetic resonance image analysis with fully convolutional networks
                                        
                                    ",2018-09-14,https://link.springer.com/article/10.1186/s12968-018-0471-x,machine learning,2,2018
