date,title,volume,authors,type,abstract,method,keyword,n_volume
2022-06-06,Imaging gravity-induced lung water redistribution with automated inline processing at 0.55 T cardiovascular magnetic resonance,"Volume 24, article number 35, (2022)","Felicia Seemann ORCID: orcid.org/0000-0003-3074-53801, Ahsan Javed1, Rachel Chae1, Rajiv Ramasawmy1, Kendall O’Brien1, Scott Baute1, Hui Xue1, Robert J. Lederman1 & …Adrienne E. Campbell-Washburn1 Show authors 3412 Accesses 1 Altmetric ",Research,Quantitative assessment of dynamic lung water accumulation is of interest to unmask latent heart failure. We develop and validate a free-breathing 3D ultrashort echo time (UTE) sequence with automated inline image processing to image changes in lung water density (LWD) using high-performance 0.55 T cardiovascular magnetic resonance (CMR).,"Quantitative lung water CMR was performed on 15 healthy subjects using free-breathing 3D stack-of-spirals proton density weighted UTE at 0.55 T. Inline image reconstruction and automated image processing was performed using the Gadgetron framework. A gravity-induced redistribution of LWD was provoked by sequentially acquiring images in the supine, prone, and again supine position. Quantitative validation was performed in a phantom array of vials containing mixtures of water and deuterium oxide.",deep learning,24
2020-08-20,Automated quantification of myocardial tissue characteristics from native T1 mapping using neural networks with uncertainty-based quality-control,"Volume 22, article number 60, (2020)","Esther Puyol-Antón1, Bram Ruijsink1,2, Christian F. Baumgartner3, Pier-Giorgio Masci1,2, Matthew Sinclair4, Ender Konukoglu3, Reza Razavi1,2 & …Andrew P. King1 Show authors 5088 Accesses 10 Altmetric ",Research,"Tissue characterisation with cardiovascular magnetic resonance (CMR) parametric mapping has the potential to detect and quantify both focal and diffuse alterations in myocardial structure not assessable by late gadolinium enhancement. Native T1 mapping in particular has shown promise as a useful biomarker to support diagnostic, therapeutic and prognostic decision-making in ischaemic and non-ischaemic cardiomyopathies.","Convolutional neural networks (CNNs) with Bayesian inference are a category of artificial neural networks which model the uncertainty of the network output. This study presents an automated framework for tissue characterisation from native shortened modified Look-Locker inversion recovery ShMOLLI T1 mapping at 1.5 T using a Probabilistic Hierarchical Segmentation (PHiSeg) network (PHCUMIS 119–127, 2019). In addition, we use the uncertainty information provided by the PHiSeg network in a novel automated quality control (QC) step to identify uncertain T1 values. The PHiSeg network and QC were validated against manual analysis on a cohort of the UK Biobank containing healthy subjects and chronic cardiomyopathy patients (N=100 for the PHiSeg network and N=700 for the QC). We used the proposed method to obtain reference T1 ranges for the left ventricular (LV) myocardium in healthy subjects as well as common clinical cardiac conditions.",deep learning,22
2021-11-08,Bright-blood and dark-blood phase sensitive inversion recovery late gadolinium enhancement and T1 and T2 maps in a single free-breathing scan: an all-in-one approach,"Volume 23, article number 126, (2021)","Peter Kellman ORCID: orcid.org/0000-0002-9875-60701, Hui Xue1, Kelvin Chow2, James Howard3,4, Liza Chacko5,6, Graham Cole3,4 & …Marianna Fontana5,6 Show authors 5422 Accesses 13 Altmetric ",Research,"Quantitative cardiovascular magnetic resonance (CMR) T1 and T2 mapping are used to detect diffuse disease such as myocardial fibrosis or edema. However, post gadolinium contrast mapping often lacks visual contrast needed for assessment of focal scar. On the other hand, late gadolinium enhancement (LGE) CMR which nulls the normal myocardium has excellent contrast between focal scar and normal myocardium but has poor ability to detect global disease. The objective of this work is to provide a calculated bright-blood (BB) and dark-blood (DB) LGE based on simultaneous acquisition of T1 and T2 maps, so that both diffuse and focal disease may be assessed within a single multi-parametric acquisition.","The prototype saturation recovery-based SASHA T1 mapping may be modified to jointly calculate T1 and T2 maps (known as multi-parametric SASHA) by acquiring additional saturation recovery (SR) images with both SR and T2 preparations. The synthetic BB phase sensitive inversion recovery (PSIR) LGE may be calculated from the post-contrast T1, and the DB PSIR LGE may be calculated from the post-contrast joint T1 and T2 maps. Multi-parametric SASHA maps were acquired free-breathing (45 heartbeats). Protocols were designed to use the same spatial resolution and achieve similar signal-to-noise ratio (SNR) as conventional motion corrected (MOCO) PSIR. The calculated BB and DB LGE were compared with separate free breathing (FB) BB and DB MOCO PSIR acquisitions requiring 16 and 32 heart beats, respectively. One slice with myocardial infarction (MI) was acquired with all protocols within 4 min.",deep learning,23
2022-03-04,2021 - State of our JCMR,"Volume 24, article number 14, (2022)","Warren J. Manning ORCID: orcid.org/0000-0001-7199-25431,2 3969 Accesses 2 Altmetric ",Review,NA,NA,deep learning,24
2021-05-17,Clinical comparison of sub-mm high-resolution non-contrast coronary CMR angiography against coronary CT angiography in patients with low-intermediate risk of coronary artery disease: a single center trial,"Volume 23, article number 57, (2021)","Reza Hajhosseiny ORCID: orcid.org/0000-0002-8116-460X1 na1, Imran Rashid1 na1, Aurélien Bustin1, Camila Munoz1, Gastao Cruz1, Muhummad Sohaib Nazir1,2, Karine Grigoryan1,2, Tevfik F. Ismail1,2, Rebecca Preston3, Radhouene Neji1,4, Karl Kunze1,4, Reza Razavi1, Amedeo Chiribiri1, Pier Giorgio Masci1, Ronak Rajani1,2, Claudia Prieto1,5 & …René M. Botnar1,5 Show authors 8435 Accesses 9 Altmetric ",Research,"The widespread clinical application of coronary cardiovascular magnetic resonance (CMR) angiography (CMRA) for the assessment of coronary artery disease (CAD) remains limited due to low scan efficiency leading to prolonged and unpredictable acquisition times; low spatial-resolution; and residual respiratory motion artefacts resulting in limited image quality. To overcome these limitations, we have integrated highly undersampled acquisitions with image-based navigators and non-rigid motion correction to enable high resolution (sub-1 mm3) free-breathing, contrast-free 3D whole-heart coronary CMRA with 100% respiratory scan efficiency in a clinically feasible and predictable acquisition time.",To evaluate the diagnostic performance of this coronary CMRA framework against coronary computed tomography angiography (CTA) in patients with suspected CAD.,deep learning,23
2019-04-25,Fully automated quantification of biventricular volumes and function in cardiovascular magnetic resonance: applicability to clinical routine settings,"Volume 21, article number 24, (2019)","Sören J. Backhaus1,2, Wieland Staab2,3, Michael Steinmetz2,4, Christian O. Ritter2,3, Joachim Lotz2,3, Gerd Hasenfuß1,2, Andreas Schuster1,2,5 & …Johannes T. Kowallick2,3 Show authors 4275 Accesses 9 Altmetric ",Research,"Cardiovascular magnetic resonance (CMR) represents the clinical gold standard for the assessment of biventricular morphology and function. Since manual post-processing is time-consuming and prone to observer variability, efforts have been directed towards automated volumetric quantification. In this study, we sought to validate the accuracy of a novel approach providing fully automated quantification of biventricular volumes and function in a “real-world” clinical setting.","Three-hundred CMR examinations were randomly selected from the local data base. Fully automated quantification of left ventricular (LV) mass, LV and right ventricular (RV) end-diastolic and end-systolic volumes (EDV/ESV), stroke volume (SV) and ejection fraction (EF) were performed overnight using commercially available software (suiteHEART®, Neosoft, Pewaukee, Wisconsin, USA). Parameters were compared to manual assessments (QMass®, Medis Medical Imaging Systems, Leiden, Netherlands). Sub-group analyses were further performed according to image quality, scanner field strength, the presence of implanted aortic valves and repaired Tetralogy of Fallot (ToF).",deep learning,21
2019-12-30,Journal of Cardiovascular Magnetic Resonance: 2017/2018 in review,"Volume 21, article number 79, (2019)",Warren J. Manning1 4757 Accesses 1 Altmetric ,Review,"In accordance with Open-Access publishing guidelines of BMC, the JCMR articles are published on-line in a continuus fashion in the chronologic order of acceptance, with no collating of the articles into sections or special thematic issues. For this reason, over the years, the Editors have felt that it is useful for the JCMR audience to annually summarize the publications into broad areas of interest or themes, so that readers can view areas of interest in a single article in relation to each other and contemporaneous JCMR publications. In this publication, the manuscripts are presented in broad themes and set in context with related literature and previously published JCMR papers to guide continuity of thought within the journal. In addition, as in the past two years, I have used this publication to also convey information regarding the editorial process and as a “State of our JCMR.”",NA,deep learning,21
2018-11-05,Validation of a rapid semi-automated method to assess left atrial longitudinal phasic strains on cine cardiovascular magnetic resonance imaging,"Volume 20, article number 71, (2018)","Shuang Leng1, Ru-San Tan1,2, Xiaodan Zhao1, John C. Allen2, Angela S. Koh1,2 & …Liang Zhong1,2 Show authors 4088 Accesses 16 Altmetric ",Research,"Abnormal left atrial (LA) function is a marker of cardiac dysfunction and adverse cardiovascular outcome, but is difficult to assess, and hence not, routinely quantified. We aimed to determine the feasibility and effectiveness of a fast method to measure long-axis LA strain and strain rate (SR) with standard cardiovascular magnetic resonance (CMR) compared to conventional feature tracking (FT) derived longitudinal strain.","We studied 50 normal controls, 30 patients with hypertrophic cardiomyopathy, and 100 heart failure (HF) patients, including 40 with reduced ejection fraction (HFrEF), 30 mid-range ejection fraction (HFmrEF) and 30 preserved ejection fraction (HFpEF). LA longitudinal strain and SR parameters were derived by tracking the distance between the left atrioventricular junction and a user-defined point at the mid posterior LA wall on standard cine CMR two- and four-chamber views. LA performance was analyzed at three distinct cardiac phases: reservoir function (reservoir strain εs and strain rate SRs), conduit function (conduit strain εe and strain rate SRe) and booster pump function (booster strain εa and strain rate SRa).",deep learning,20
2014-01-10,Tracking of stem cells in vivo for cardiovascular applications,"Volume 16, article number 7, (2014)","Nicole Azene1,2, Yingli Fu1, Jeremy Maurer1 & …Dara L Kraitchman1,2,3 Show authors 5872 Accesses 1 Altmetric ",Review,NA,NA,deep learning,16
2010-03-19,Review of Journal of Cardiovascular Magnetic Resonance 2009,"Volume 12, article number 15, (2010)","DJ Pennell1, DN Firmin1, PJ Kilner1, WJ Manning2, RH Mohiaddin1, S Neubauer3 & …SK Prasad1 Show authors 13k Accesses ",Review,NA,NA,deep learning,12
