date,title,volume,authors,type,abstract,method,keyword,n_volume
2009-01-14,The effects of breath-holding on pulmonary regurgitation measured by cardiovascular magnetic resonance velocity mapping,"Volume 11, article number 1, (2009)","Bengt Johansson1, Sonya V Babu-Narayan1 & Philip J Kilner1 8428 Accesses 6 Altmetric ",Research,"Pulmonary regurgitation is a common and clinically important residual lesion after repair of tetralogy of Fallot. Cardiovascular magnetic resonance (CMR) phase contrast velocity mapping is widely used for measurement of pulmonary regurgitant fraction. Breath-hold acquisitions, usually acquired during held expiration, are more convenient than the non-breath-hold approach, but we hypothesized that breath-holding might affect the amount of pulmonary regurgitation.","Forty-three adult patients with a previous repair of tetralogy of Fallot and residual pulmonary regurgitation were investigated with CMR. In each, pulmonary regurgitant fraction was measured from velocity maps transecting the pulmonary trunk, acquired during held expiration, held inspiration, by non-breath-hold acquisition, and also from the difference of right and left ventricular stroke volume measurements.",deep learning,11
2009-01-28,Abstract withdrawn by author,"Volume 11, article number P179, (2009)",6209 Accesses ,Poster presentation,NA,NA,deep learning,11
2009-01-28,Abstract withdrawn by author,"Volume 11, article number P198, (2009)",10k Accesses ,Poster presentation,NA,NA,deep learning,11
2020-06-01,A direct comparison of 3 T contrast-enhanced whole-heart coronary cardiovascular magnetic resonance angiography to dual-source computed tomography angiography for detection of coronary artery stenosis: a single-center experience,"Volume 22, article number 40, (2020)","Bin Sun1, Zhiyong Chen1, Qing Duan1, Yunjing Xue1, Lianglong Chen2, Zhongshuai Zhang3 & …Jing An4 Show authors 4606 Accesses 7 Altmetric ",Research,"In recent years, substantial advances have been made in noninvasive cardiac imaging, including cardiac computed tomography (CT) and cardiovascular magnetic resonance (CMR). The purpose of this study was to prospectively compare the diagnostic performance of contrast-enhanced whole heart coronary CMR angiography (CCMRA) to dual-source coronary CT angiography (CCTA) for the diagnosis of significant coronary stenoses (≥50%) in patients with known or suspected coronary artery disease (CAD) referred for conventional x-ray coronary angiography.",Our objective was to directly compare the diagnostic accuracy of contrast-enhanced whole-heart CCMRA (CE-CCMRA) to dual-source CCTA (DS-CCTA) for the detection of CAD. We prospectively studied 57 symptomatic patients with suspected or known CAD who were scheduled for conventional x-ray coronary angiography. Significant CAD was defined as an x-ray defined diameter reduction of ≥50% in a coronary artery with a reference diameter of ≥1.5 mm.,convolution,22
2019-11-18,Free breathing three-dimensional cardiac quantitative susceptibility mapping for differential cardiac chamber blood oxygenation – initial validation in patients with cardiovascular disease inclusive of direct comparison to invasive catheterization,"Volume 21, article number 70, (2019)","Yan Wen1,2, Jonathan W. Weinsaft3, Thanh D. Nguyen2, Zhe Liu1,2, Evelyn M. Horn3, Harsimran Singh3, Jonathan Kochav3, Sarah Eskreis-Winkler2, Kofi Deh2, Jiwon Kim3, Martin R. Prince2, Yi Wang1,2 & …Pascal Spincemaille ORCID: orcid.org/0000-0002-8821-13412,4 Show authors 3954 Accesses 3 Altmetric ",Research,"Differential blood oxygenation between left (LV) and right ventricles (RV; ΔSaO2) is a key index of cardiac performance; LV dysfunction yields increased RV blood pool deoxygenation. Deoxyhemoglobin increases blood magnetic susceptibility, which can be measured using an emerging cardiovascular magnetic resonance (CMR) technique, Quantitative Susceptibility Mapping (QSM) – a concept previously demonstrated in healthy subjects using a breath-hold 2D imaging approach (2DBHQSM). This study tested utility of a novel 3D free-breathing QSM approach (3DNAVQSM) in normative controls, and validated 3DNAVQSM for non-invasive ΔSaO2 quantification in patients undergoing invasive cardiac catheterization (cath).","Initial control (n = 10) testing compared 2DBHQSM (ECG-triggered 2D gradient echo acquired at end-expiration) and 3DNAVQSM (ECG-triggered navigator gated gradient echo acquired in free breathing using a phase-ordered automatic window selection algorithm to partition data based on diaphragm position). Clinical testing was subsequently performed in patients being considered for cath, including 3DNAVQSM comparison to cine-CMR quantified LV function (n = 39), and invasive-cath quantified ΔSaO2 (n = 15). QSM was acquired using 3 T scanners; analysis was blinded to comparator tests (cine-CMR, cath).",convolution,21
2019-09-19,Model-based myocardial T1 mapping with sparsity constraints using single-shot inversion-recovery radial FLASH cardiovascular magnetic resonance,"Volume 21, article number 60, (2019)","Xiaoqing Wang1,2, Florian Kohler1,2, Christina Unterberg-Buchwald1,2, Joachim Lotz1,2, Jens Frahm2,3 & …Martin Uecker1,2 Show authors 5499 Accesses 8 Altmetric ",Technical notes,"This study develops a model-based myocardial T1 mapping technique with sparsity constraints which employs a single-shot inversion-recovery (IR) radial fast low angle shot (FLASH) cardiovascular magnetic resonance (CMR) acquisition. The method should offer high resolution, accuracy, precision and reproducibility.",The proposed reconstruction estimates myocardial parameter maps directly from undersampled k-space which is continuously measured by IR radial FLASH with a 4 s breathhold and retrospectively sorted based on a cardiac trigger signal. Joint sparsity constraints are imposed on the parameter maps to further improve T1 precision. Validations involved studies of an experimental phantom and 8 healthy adult subjects.,convolution,21
2019-10-14,Fast self-navigated wall shear stress measurements in the murine aortic arch using radial 4D-phase contrast cardiovascular magnetic resonance at 17.6 T,"Volume 21, article number 64, (2019)","Patrick Winter ORCID: orcid.org/0000-0003-1507-85241,2 na1, Kristina Andelovic1,2,3 na1, Thomas Kampf1,4, Fabian Tobias Gutjahr1, Julius Heidenreich2, Alma Zernecke3, Wolfgang Rudolf Bauer2, Peter Michael Jakob1 & …Volker Herold1 Show authors 3776 Accesses 1 Altmetric ",Research,4D flow cardiovascular magnetic resonance (CMR) and the assessment of wall shear stress (WSS) are non-invasive tools to study cardiovascular risks in vivo. Major limitations of conventional triggered methods are the long measurement times needed for high-resolution data sets and the necessity of stable electrocardiographic (ECG) triggering. In this work an ECG-free retrospectively synchronized method is presented that enables accelerated high-resolution measurements of 4D flow and WSS in the aortic arch of mice.,"4D flow and WSS were measured in the aortic arch of 12-week-old wildtype C57BL/6 J mice (n = 7) with a radial 4D-phase-contrast (PC)-CMR sequence, which was validated in a flow phantom. Cardiac and respiratory motion signals were extracted from the radial CMR signal and were used for the reconstruction of 4D-flow data. Rigid motion correction and a first order B0 correction was used to improve the robustness of magnitude and velocity data.",convolution,21
2018-11-12,Quantitative myocardial first-pass cardiovascular magnetic resonance perfusion imaging using hyperpolarized [1-13C] pyruvate,"Volume 20, article number 73, (2018)","Maximilian Fuetterer1, Julia Busch1, Julia Traechtler1, Patrick Wespi1, Sophie M. Peereboom1, Mareike Sauer2, Miriam Lipiski2, Thea Fleischmann2, Nikola Cesarovic2, Christian T. Stoeck1 & …Sebastian Kozerke1 Show authors 3080 Accesses 6 Altmetric ",Research,The feasibility of absolute myocardial blood flow quantification and suitability of hyperpolarized [1-13C] pyruvate as contrast agent for first-pass cardiovascular magnetic resonance (CMR) perfusion measurements are investigated with simulations and demonstrated in vivo in a swine model.,"A versatile simulation framework for hyperpolarized CMR subject to physical, physiological and technical constraints was developed and applied to investigate experimental conditions for accurate perfusion CMR with hyperpolarized [1-13C] pyruvate. Absolute and semi-quantitative perfusion indices were analyzed with respect to experimental parameter variations and different signal-to-noise ratio (SNR) levels. Absolute myocardial blood flow quantification was implemented with an iterative deconvolution approach based on Fermi functions. To demonstrate in vivo feasibility, velocity-selective excitation with an echo-planar imaging readout was used to acquire dynamic myocardial stress perfusion images in four healthy swine. Arterial input functions were extracted from an additional image slice with conventional excitation that was acquired within the same heartbeat.",convolution,20
2017-03-10,Validation of diffusion tensor MRI measurements of cardiac microstructure with structure tensor synchrotron radiation imaging,"Volume 19, article number 31, (2017)","Irvin Teh1,2, Darryl McClymont1, Marie-Christine Zdora3,4, Hannah J. Whittington1, Valentina Davidoiu5, Jack Lee5, Craig A. Lygate1, Christoph Rau3,6,7, Irene Zanette3 & …Jürgen E. Schneider1,2 Show authors 7430 Accesses 10 Altmetric ",Research,"Diffusion tensor imaging (DTI) is widely used to assess tissue microstructure non-invasively. Cardiac DTI enables inference of cell and sheetlet orientations, which are altered under pathological conditions. However, DTI is affected by many factors, therefore robust validation is critical. Existing histological validation is intrinsically flawed, since it requires further tissue processing leading to sample distortion, is routinely limited in field-of-view and requires reconstruction of three-dimensional volumes from two-dimensional images. In contrast, synchrotron radiation imaging (SRI) data enables imaging of the heart in 3D without further preparation following DTI. The objective of the study was to validate DTI measurements based on structure tensor analysis of SRI data.","One isolated, fixed rat heart was imaged ex vivo with DTI and X-ray phase contrast SRI, and reconstructed at 100 μm and 3.6 μm isotropic resolution respectively. Structure tensors were determined from the SRI data and registered to the DTI data.",convolution,19
2017-03-06,Comparison of CT and CMR for detection and quantification of carotid artery calcification: the Rotterdam Study,"Volume 19, article number 28, (2017)","Blerim Mujaj1, Andrés M. Arias Lorza2, Arna van Engelen2, Marleen de Bruijne2,4, Oscar H. Franco1, Aad van der Lugt3, Meike W. Vernooij1,3 & …Daniel Bos1,3,5 Show authors 5047 Accesses 10 Altmetric ",Research,"Carotid artery atherosclerosis is an important risk factor for stroke. As such, quantitative imaging of carotid artery calcification, as a proxy of atherosclerosis, has become a cornerstone of current stroke research. Yet, population-based data comparing the computed tomography (CT) and cardiovascular magnetic resonance (CMR) for the detection and quantification of calcification remain scarce.","A total of 684 participants from the population-based Rotterdam Study underwent both a CT and CMR of the carotid artery bifurcation to quantify the amount of carotid artery calcification (mean interscan interval: 4.9 ± 1.2 years). We investigated the correlation between the amount of calcification measured on CT and CMR using Spearman’s correlation coefficient, Bland-Altman plots, and linear regression. In addition, using logistic regression modeling, we assessed the association of CT and CMR based calcification volumes with a history of stroke.",convolution,19
2015-12-04,Quantitative three-dimensional myocardial perfusion cardiovascular magnetic resonance with accurate two-dimensional arterial input function assessment,"Volume 17, article number 108, (2015)","Lukas Wissmann1, Markus Niemann1,2,3, Alexander Gotschy1,2,4, Robert Manka1,2,5 & …Sebastian Kozerke1,6 Show authors 3549 Accesses 7 Altmetric ",Research,"Quantification of myocardial perfusion from first-pass cardiovascular magnetic resonance (CMR) images at high contrast agent (CA) dose requires separate acquisition of blood pool and myocardial tissue enhancement. In this study, a dual-sequence approach interleaving 2D imaging of the arterial input function with high-resolution 3D imaging for myocardial perfusion assessment is presented and validated for low and high CA dose.",A dual-sequence approach interleaving 2D imaging of the aortic root and 3D imaging of the whole left ventricle using highly accelerated k-t PCA was implemented. Rest perfusion imaging was performed in ten healthy volunteers after administration of a Gadolinium-based CA at low (0.025 mmol/kg b.w.) and high dose (0.1 mmol/kg b.w.). Arterial input functions extracted from the 2D and 3D images were analysed for both doses. Myocardial contrast-to-noise ratios (CNR) were compared across volunteers and doses. Variations of myocardial perfusion estimates between volunteers and across myocardial territories were studied.,convolution,17
2015-02-17,Measurement of myocardial blood flow by cardiovascular magnetic resonance perfusion: comparison of distributed parameter and Fermi models with single and dual bolus,"Volume 17, article number 17, (2015)","Giorgos Papanastasiou1,2, Michelle C Williams2, Lucy E Kershaw3, Marc R Dweck2, Shirjel Alam2, Saeed Mirsadraee1, Martin Connell1, Calum Gray1, Tom MacGillivray1, David E Newby1,2 & …Scott IK Semple1,2 Show authors 4492 Accesses 1 Altmetric ",Research,Mathematical modeling of cardiovascular magnetic resonance perfusion data allows absolute quantification of myocardial blood flow. Saturation of left ventricle signal during standard contrast administration can compromise the input function used when applying these models. This saturation effect is evident during application of standard Fermi models in single bolus perfusion data. Dual bolus injection protocols have been suggested to eliminate saturation but are much less practical in the clinical setting. The distributed parameter model can also be used for absolute quantification but has not been applied in patients with coronary artery disease. We assessed whether distributed parameter modeling might be less dependent on arterial input function saturation than Fermi modeling in healthy volunteers. We validated the accuracy of each model in detecting reduced myocardial blood flow in stenotic vessels versus gold-standard invasive methods.,"Eight healthy subjects were scanned using a dual bolus cardiac perfusion protocol at 3T. We performed both single and dual bolus analysis of these data using the distributed parameter and Fermi models. For the dual bolus analysis, a scaled pre-bolus arterial input function was used. In single bolus analysis, the arterial input function was extracted from the main bolus. We also performed analysis using both models of single bolus data obtained from five patients with coronary artery disease and findings were compared against independent invasive coronary angiography and fractional flow reserve. Statistical significance was defined as two-sided P value < 0.05.",convolution,17
2015-02-03,Two channel passive visualization of a nitinol guidewire with iron markers,"Volume 17, article number P236, (2015)","Adrienne E Campbell-Washburn1, Toby Rogers1, Burcu Basar1,2, Merdim Sonmez1, Ozgur Kocaturk1, Robert J Lederman1, Michael Hansen1 & …Anthony Z Faranesh1 Show authors 1421 Accesses ",Poster presentation,NA,NA,convolution,17
2015-06-15,Compressed sensing to accelerate magnetic resonance spectroscopic imaging: evaluation and application to 23Na-imaging of mouse hearts,"Volume 17, article number 45, (2015)","Mahon L. Maguire1, Sairam Geethanath2, Craig A. Lygate1, Vikram D. Kodibagkar3 & …Jürgen E. Schneider1 Show authors 3743 Accesses 3 Altmetric ",Research,"Magnetic Resonance Spectroscopic Imaging (MRSI) has wide applicability for non-invasive biochemical assessment in clinical and pre-clinical applications but suffers from long scan times. Compressed sensing (CS) has been successfully applied to clinical 1H MRSI, however a detailed evaluation of CS for conventional chemical shift imaging is lacking. Here we evaluate the performance of CS accelerated MRSI, and specifically apply it to accelerate 23Na-MRSI on mouse hearts in vivo at 9.4 T.","Synthetic phantom data representing a simplified section across a mouse thorax were used to evaluate the fidelity of the CS reconstruction for varying levels of under-sampling, resolution and signal-to-noise ratios (SNR). The amplitude of signals arising from within a compartment, and signal contamination arising from outside the compartment relative to noise-free Fourier-transformed (FT) data were determined. Simulation results were subsequently verified experimentally in phantoms and in three mouse hearts in vivo.",convolution,17
2014-06-24,Method for calculating confidence intervals for phase contrast flow measurements,"Volume 16, article number 46, (2014)","Michael S Hansen1, Laura J Olivieri1,2, Kendall O’Brien1,2, Russell R Cross1,2, Souheil J Inati3 & …Peter Kellman1 Show authors 2950 Accesses 4 Altmetric ",Research,"Phase contrast (PC) measurements play an important role in several cardiovascular magnetic resonance (CMR) protocols but considerable variation is observed in such measurements. Part of this variation stems from the propagation of thermal noise from the measurement data through the image reconstruction to the region of interest analysis used in flow measurement, which limits the precision. The purpose of this study was to develop a method for direct estimation of the variation caused by thermal noise and to validate this method in phantom and in vivo data.",The estimation of confidence intervals in flow measurements is complicated by noise correlation among the image pixels and cardiac phases. This correlation is caused by sequence and reconstruction parameters. A method for the calculation of the standard deviation of region of interest measurements was adapted and expanded to accommodate typical clinical PC measurements and the region-of-interest analysis used for such measurements. This included the dependency between cardiac phases that arises due to retrospective cardiac gating used in such studies. The proposed method enables calculation of standard deviations of flow measurements without the need for repeated experiments or repeated reconstructions. The method was compared to repeated trials in phantom measurements and pseudo replica reconstructions of in vivo data. Three different flow protocols (free breathing and breath hold with various accelerations) were compared in terms of the confidence interval ranges caused by thermal noise in the measurement data.,convolution,16
2014-10-14,Quantitative assessment of magnetic resonance derived myocardial perfusion measurements using advanced techniques: microsphere validation in an explanted pig heart system,"Volume 16, article number 82, (2014)","Andreas Schuster1,2, Niloufar Zarinabad1, Masaki Ishida1, Matthew Sinclair1, Jeroen PHM van den Wijngaard3, Geraint Morton1, Gilion LTF Hautvast4, Boris Bigalke1,5, Pepijn van Horssen3, Nicolas Smith1, Jos AE Spaan3, Maria Siebes3, Amedeo Chiribiri1 & …Eike Nagel1 Show authors 4892 Accesses 3 Altmetric ",Research,"Cardiovascular Magnetic Resonance (CMR) myocardial perfusion imaging has the potential to evolve into a method allowing full quantification of myocardial blood flow (MBF) in clinical routine. Multiple quantification pathways have been proposed. However at present it remains unclear which algorithm is the most accurate. An isolated perfused, magnetic resonance (MR) compatible pig heart model allows very accurate titration of MBF and in combination with high-resolution assessment of fluorescently-labeled microspheres represents a near optimal platform for validation. We sought to investigate which algorithm is most suited to quantify myocardial perfusion by CMR at 1.5 and 3 Tesla using state of the art CMR perfusion techniques and quantification algorithms.","First-pass perfusion CMR was performed in an MR compatible blood perfused pig heart model. We acquired perfusion images at physiological flow (“rest”), reduced flow (“ischaemia”) and during adenosine-induced hyperaemia (“hyperaemia”) as well as during coronary occlusion. Perfusion CMR was performed at 1.5 Tesla (n = 4 animals) and at 3 Tesla (n = 4 animals). Fluorescently-labeled microspheres and externally controlled coronary blood flow served as reference standards for comparison of different quantification strategies, namely Fermi function deconvolution (Fermi), autoregressive moving average modelling (ARMA), exponential basis deconvolution (Exponential) and B-spline basis deconvolution (B-spline).",convolution,16
2014-08-20,MRXCAT: Realistic numerical phantoms for cardiovascular magnetic resonance,"Volume 16, article number 63, (2014)","Lukas Wissmann1, Claudio Santelli1,3, William P Segars2 & …Sebastian Kozerke1,3 Show authors 8898 Accesses 3 Altmetric ",Technical notes,"Computer simulations are important for validating novel image acquisition and reconstruction strategies. In cardiovascular magnetic resonance (CMR), numerical simulations need to combine anatomical information and the effects of cardiac and/or respiratory motion. To this end, a framework for realistic CMR simulations is proposed and its use for image reconstruction from undersampled data is demonstrated.","The extended Cardiac-Torso (XCAT) anatomical phantom framework with various motion options was used as a basis for the numerical phantoms. Different tissue, dynamic contrast and signal models, multiple receiver coils and noise are simulated. Arbitrary trajectories and undersampled acquisition can be selected. The utility of the framework is demonstrated for accelerated cine and first-pass myocardial perfusion imaging using k-t PCA and k-t SPARSE.",convolution,16
2014-01-16,A subspace approach to blind coil sensitivity estimation in parallel MRI,"Volume 16, article number W1, (2014)","Derya Gol Gungor1, Rizwan Ahmad1,2 & Lee C Potter1 1937 Accesses ",Workshop presentation,NA,NA,convolution,16
2015-04-29,Comparison of diffusion tensor imaging by cardiovascular magnetic resonance and gadolinium enhanced 3D image intensity approaches to investigation of structural anisotropy in explanted rat hearts,"Volume 17, article number 31, (2015)","Olivier Bernus1, Aleksandra Radjenovic2, Mark L Trew3, Ian J LeGrice3,4, Gregory B Sands3, Derek R Magee5, Bruce H Smaill3,4 & …Stephen H Gilbert6 Show authors 6041 Accesses 8 Altmetric ",Technical notes,Cardiovascular magnetic resonance (CMR) can through the two methods 3D FLASH and diffusion tensor imaging (DTI) give complementary information on the local orientations of cardiomyocytes and their laminar arrays.,"Eight explanted rat hearts were perfused with Gd-DTPA contrast agent and fixative and imaged in a 9.4T magnet by two types of acquisition: 3D fast low angle shot (FLASH) imaging, voxels 50 × 50 × 50 μm, and 3D spin echo DTI with monopolar diffusion gradients of 3.6 ms duration at 11.5 ms separation, voxels 200 × 200 × 200 μm. The sensitivity of each approach to imaging parameters was explored.",convolution,17
2014-01-24,Voxel-wise quantification of myocardial blood flow with cardiovascular magnetic resonance: effect of variations in methodology and validation with positron emission tomography,"Volume 16, article number 11, (2014)","Christopher A Miller1,2,3, Josephine H Naish2, Mark P Ainslie1, Christine Tonge4, Deborah Tout4, Parthiban Arumugam4, Anita Banerji2, Robin M Egdell5, David Clark6, Peter Weale7, Christopher D Steadman8, Gerry P McCann8, Simon G Ray1,3, Geoffrey JM Parker2 & …Matthias Schmitt1,2 Show authors 6670 Accesses 1 Altmetric ",Research,"Quantitative assessment of myocardial blood flow (MBF) from cardiovascular magnetic resonance (CMR) perfusion images appears to offer advantages over qualitative assessment. Currently however, clinical translation is lacking, at least in part due to considerable disparity in quantification methodology. The aim of this study was to evaluate the effect of common methodological differences in CMR voxel-wise measurement of MBF, using position emission tomography (PET) as external validation.","Eighteen subjects, including 9 with significant coronary artery disease (CAD) and 9 healthy volunteers prospectively underwent perfusion CMR. Comparison was made between MBF quantified using: 1. Calculated contrast agent concentration curves (to correct for signal saturation) versus raw signal intensity curves; 2. Mid-ventricular versus basal-ventricular short-axis arterial input function (AIF) extraction; 3. Three different deconvolution approaches; Fermi function parameterization, truncated singular value decomposition (TSVD) and first-order Tikhonov regularization with b-splines. CAD patients also prospectively underwent rubidium-82 PET (median interval 7 days).",convolution,16
2012-02-01,Divergence-free reconstruction for accelerated 3D phase-contrast flow measurements,"Volume 14, article number W38, (2012)","Julia Busch1, Daniel Giese1,2, Lukas Wissmann1 & …Sebastian Kozerke1,2 Show authors 1746 Accesses ",Workshop presentation,NA,NA,convolution,14
2012-06-25,Myocardial first-pass perfusion imaging with hybrid-EPI: frequency-offsets and potential artefacts,"Volume 14, article number 44, (2012)","Pedro F Ferreira1, Peter D Gatehouse1,2 & David N Firmin1,2 3891 Accesses ",Research,"First-pass myocardial perfusion is often imaged with a tailored hybrid centric interleaved echo-planar-imaging sequence, providing rapid image acquisition with good contrast enhancement. The centric interleaved phase-encode order minimises the effective time-of-echo but it is sensitive to frequency-offsets. This short article aims to show possible artefacts that might originate with this sequence, in the context of first-pass perfusion imaging, when frequency-offsets are present. Non-uniform magnitude modulation effects were also analysed.",Numerical and phantom simulations were used to illustrate the effects of frequency-offsets and non-uniform magnitude modulation with this sequence in a typical perfusion protocol. In vivo data was post-processed to analyse the h-EPI’s sensitivity to the frequency-offsets.,convolution,14
2012-02-01,Breath-held 3D coronary vessel wall imaging with dual-density spiral acquisition and parallel imaging,"Volume 14, article number W62, (2012)","Meihan Wang1, Michael Salerno2, Christopher M Kramer2,3 & …Craig H Meyer1,3 Show authors 1379 Accesses ",Workshop presentation,NA,NA,convolution,14
2012-02-01,Comparison of divergence-free algorithms for 3D MRI with three-directional velocity encoding,"Volume 14, article number W64, (2012)","Michael Loecher1, Steven Kecskemeti3, Patrick Turski2 & …Oliver Wieben1,2 Show authors 1676 Accesses ",Workshop presentation,NA,NA,convolution,14
2011-02-02,Myocardial ASL perfusion reserve test detects ischemic segments in initial cohort of 10 patients with angiographic CAD,"Volume 13, article number P110, (2011)","Zungho Zun1, Terrence Jao1, Ning Smith2, Padmini Varadarajan3, Ramdas G Pai3, Eric C Wong4 & …Krishna S Nayak1 Show authors 1851 Accesses ",Poster presentation,NA,NA,convolution,13
2010-10-08,Quantification of myocardial perfusion by cardiovascular magnetic resonance,"Volume 12, article number 57, (2010)",Michael Jerosch-Herold1 17k Accesses 12 Altmetric ,Review,NA,NA,convolution,12
2010-01-21,Real-time low-latency self-calibrating grog for interventional mri,"Volume 12, article number P61, (2010)","Haris Saybasili1, J Andrew Derbyshire1, Peter Kellman1, Mark A Griswold2, Cengizhan Ozturk3 & …Nicole Seiberlich2 Show authors 1498 Accesses ",Poster presentation,NA,NA,convolution,12
2009-01-28,An automated method for left ventricular localization and identification of end-systolic and end-diastolic images from cine cardiac MRI,"Volume 11, article number P222, (2009)","Sotirios A Tsaftaris1, Xiangzhi Zhou2,3, Richard Tang2, Rachel Klein2 & …Rohan Dharmakumar2 Show authors 2103 Accesses ",Poster presentation,NA,NA,convolution,11
2008-10-22,2134 Validation of the spiral Fourier velocity encoding method,"Volume 10, article number A403, (2008)","Joao LA Carvalho1, Jon F Nielsen1 & Krishna S Nayak1 1539 Accesses ",Meeting abstract,NA,NA,convolution,10
2008-11-12,Estimating myocardial perfusion from dynamic contrast-enhanced CMR with a model-independent deconvolution method,"Volume 10, article number 52, (2008)","Nathan A Pack1,2, Edward VR DiBella1,2,3, Thomas C Rust2, Dan J Kadrmas1,2,3, Christopher J McGann2, Regan Butterfield3, Paul E Christian3 & …John M Hoffman2,3 Show authors 5969 Accesses ",Research,"Model-independent analysis with B-spline regularization has been used to quantify myocardial blood flow (perfusion) in dynamic contrast-enhanced cardiovascular magnetic resonance (CMR) studies. However, the model-independent approach has not been extensively evaluated to determine how the contrast-to-noise ratio between blood and tissue enhancement affects estimates of myocardial perfusion and the degree to which the regularization is dependent on the noise in the measured enhancement data. We investigated these questions with a model-independent analysis method that uses iterative minimization and a temporal smoothness regularizer. Perfusion estimates using this method were compared to results from dynamic 13N-ammonia PET.","An iterative model-independent analysis method was developed and tested to estimate regional and pixelwise myocardial perfusion in five normal subjects imaged with a saturation recovery turboFLASH sequence at 3 T CMR. Estimates of myocardial perfusion using model-independent analysis are dependent on the choice of the regularization weight parameter, which increases nonlinearly to handle large decreases in the contrast-to-noise ratio of the measured tissue enhancement data. Quantitative perfusion estimates in five subjects imaged with 3 T CMR were 1.1 ± 0.8 ml/min/g at rest and 3.1 ± 1.7 ml/min/g at adenosine stress. The perfusion estimates correlated with dynamic 13N-ammonia PET (y = 0.90x + 0.24, r = 0.85) and were similar to results from other validated CMR studies.",convolution,10
2023-06-12,Reference data for left ventricular filling and atrial function in children using cardiovascular magnetic resonance,"Volume 25, article number 30, (2023)","Christopher C. Henderson1, Kristen George-Durrett2, Sandra Kikano2, James C. Slaughter3, Joshua D. Chew2, David Parra2, Jeffrey Weiner2 & …Jonathan Soslow ORCID: orcid.org/0000-0001-9194-53302 Show authors 2265 Accesses 2 Altmetric ",Research,"Diastolic dysfunction is associated with morbidity and mortality in multiple pediatric disease processes. Cardiovascular magnetic resonance (CMR) provides a non-invasive method of studying left ventricular (LV) diastolic dysfunction through the assessment of LV filling curves and left atrial (LA) volume and function. However, there are no normative data for LV filling curves and the standard method is time-intensive. This study aims to compare an alternate, more rapid method of obtaining LV filling curves to standard methodology and report normative CMR diastolic function data for LV filling curves and LA volumes and function.","Ninety-six healthy pediatric subjects (14.3 ± 3.4 years) with normal CMR defined by normal biventricular size and systolic function without late gadolinium enhancement were included. LV filling curves were generated by removing basal slices without myocardium present throughout the cardiac cycle and apical slices with poor endocardial delineation (compressed method), then re-generated including every phase of myocardium from apex to base (standard method). Indices of diastolic function included peak filling rate and time to peak filling. Systolic metrics included peak ejection rate and time to peak ejection. Both peak ejection and peak filling rates were indexed to end-diastolic volume. LA maximum, minimum and pre-contraction volumes were calculated using a biplane method. Inter-and intra-observer variability were assessed with intraclass correlation coefficient. Multivariable linear regression was used to assess the effects of body surface area (BSA), gender and age on metrics of diastolic function.",artificial intelligence,25
2021-11-11,Atri-U: assisted image analysis in routine cardiovascular magnetic resonance volumetry of the left atrium,"Volume 23, article number 133, (2021)","Constantin Anastasopoulos ORCID: orcid.org/0000-0001-9818-24601, Shan Yang2, Maurice Pradella1, Tugba Akinci D’Antonoli1,3, Sven Knecht4, Joshy Cyriac2, Marco Reisert5, Elias Kellner5, Rita Achermann2, Philip Haaf4, Bram Stieltjes1,2, Alexander W. Sauter1, Jens Bremerich1, Gregor Sommer1 & …Ahmed Abdulkadir ORCID: orcid.org/0000-0003-4679-80816,7 Show authors 3750 Accesses 8 Altmetric 1 Mention ",Technical notes,"Artificial intelligence can assist in cardiac image interpretation. Here, we achieved a substantial reduction in time required to read a cardiovascular magnetic resonance (CMR) study to estimate left atrial volume without compromising accuracy or reliability. Rather than deploying a fully automatic black-box, we propose to incorporate the automated LA volumetry into a human-centric interactive image-analysis process.","Atri-U, an automated data analysis pipeline for long-axis cardiac cine images, computes the atrial volume by: (i) detecting the end-systolic frame, (ii) outlining the endocardial borders of the LA, (iii) localizing the mitral annular hinge points and constructing the longitudinal atrial diameters, equivalent to the usual workup done by clinicians. In every step human interaction is possible, such that the results provided by the algorithm can be accepted, corrected, or re-done from scratch. Atri-U was trained and evaluated retrospectively on a sample of 300 patients and then applied to a consecutive clinical sample of 150 patients with various heart conditions. The agreement of the indexed LA volume between Atri-U and two experts was similar to the inter-rater agreement between clinicians (average overestimation of 0.8 mL/m2 with upper and lower limits of agreement of − 7.5 and 5.8 mL/m2, respectively). An expert cardiologist blinded to the origin of the annotations rated the outputs produced by Atri-U as acceptable in 97% of cases for step (i), 94% for step (ii) and 95% for step (iii), which was slightly lower than the acceptance rate of the outputs produced by a human expert radiologist in the same cases (92%, 100% and 100%, respectively). The assistance of Atri-U lead to an expected reduction in reading time of 66%—from 105 to 34 s, in our in-house clinical setting.",artificial intelligence,23
